scheme_code,scheme_name,fund_type,risk_tier,amc,return_1y,return_3y,volatility,latest_nav,latest_nav_date
143494,Nippon India Ultra Short Duration Fund- Direct Plan- Growth Option,Debt,conservative,Nippon India Mutual Fund,6.95,7.61,0.42,4792.2642,2026-08-11
138330,PGIM India Corporate Bond Fund - Direct Plan - Growth,Debt,conservative,PGIM India Mutual Fund,5.43,7.46,1.42,51.1933,2026-08-11
134552,Nippon India Banking and PSU Fund- Direct Plan-Growth Plan- Bonus Option,Debt,conservative,Nippon India Mutual Fund,5.55,7.43,1.46,22.9561,2026-08-11
119205,DSP Ultra Short Fund - Direct Plan - Growth,Debt,conservative,DSP Mutual Fund,6.69,7.45,0.46,3983.4787,2026-08-11
140769,Mirae Asset Dynamic Bond Fund -Direct Plan -Growth,Debt,conservative,Mirae Asset Mutual Fund,5.93,7.4,0.74,18.892,2026-08-11
149007,Tata Floating Rate Fund -Direct Plan-Growth,Debt,conservative,Tata Mutual Fund,6.4,7.61,0.88,13.9372,2026-08-11
120406,JM Liquid Fund (Direct) - Growth Option,Debt,conservative,JM Financial Mutual Fund,6.35,6.91,0.15,77.0804,2026-08-11
149076,TRUSTMF Short Duration Fund-Direct Plan-Growth,Debt,conservative,Trust Mutual Fund,5.43,7.26,1.05,1358.4331,2026-08-11
139259,JM Liquid Fund Unclaimed Redemption IEF (Direct) Growth Plan,Debt,conservative,JM Financial Mutual Fund,0.0,0.0,0.0,41.4437,2022-01-24
150392,LIC MF Money Market Fund-Direct Plan-Growth,Debt,conservative,LIC Mutual Fund,6.61,6.82,0.46,1295.3833,2026-08-11
148086,UTI - Bond Fund (Segregated - 17022020) - Direct Plan - Growth Option,Debt,conservative,UTI Mutual Fund,338.55,,300.17,7.3484,2022-01-27
153105,Mirae Asset Long Duration Fund - Direct Plan - Growth,Debt,conservative,Mirae Asset Mutual Fund,3.64,,4.51,10.6293,2026-08-11
120137,SBI CONSTANT MATURITY 10 YEAR GILT FUND - DIRECT PLAN - GROWTH,Debt,moderate,SBI Mutual Fund,5.31,7.56,3.35,69.8186,2026-08-11
118780,Nippon India Credit Risk Fund - Direct Plan - Growth Plan,Debt,moderate,Nippon India Mutual Fund,8.11,9.05,0.99,42.185,2026-08-11
120764,UTI Credit Risk Fund - Direct Plan - Growth Option,Debt,moderate,UTI Mutual Fund,7.07,7.95,0.98,20.8255,2026-08-11
148261,Nippon India Credit Risk Fund - Segregated Portfolio 2 - Direct Plan - Growth Plan,Debt,moderate,Nippon India Mutual Fund,,,,0.0,2026-08-11
148304,Franklin India Credit Risk Fund - Segregated Portfolio 3 (9.50% Yes bank Ltd CO 23Dec21) - Direct Growth Plan,Debt,moderate,Franklin Templeton Mutual Fund,,,,0.0,2026-08-11
147955,Franklin India Credit Risk Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Direct-Growth Plan,Debt,moderate,Franklin Templeton Mutual Fund,,,,0.0,2020-07-20
